State,Centre,Commodity,Variety,Unit,Category,Date,Retail Price
West Bengal,Asansol,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,JAN-2001,6.5
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,JAN-2001,6.0
Andhra Pradesh,Kurnool,Potato,FAQ,Kg.,Food,JAN-2001,5.0
Bihar,Hajipur,Potato,FAQ,Kg.,Food,JAN-2001,5.0
Bihar,Muzaffarpur,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Bihar,Patna,Potato,FAQ,Kg.,Food,JAN-2001,5.0
Goa,Panaji,Potato,FAQ,Kg.,Food,JAN-2001,7.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Gujarat,Surat,Potato,FAQ,Kg.,Food,JAN-2001,5.0
Gujarat,Vadodra,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Haryana,Karnal,Potato,FAQ,Kg.,Food,JAN-2001,2.5
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Jharkhand,Dhanbad,Potato,FAQ,Kg.,Food,JAN-2001,3.5
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Karnataka,Tumkur,Potato,FAQ,Kg.,Food,JAN-2001,5.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,JAN-2001,9.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,JAN-2001,7.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,JAN-2001,9.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,JAN-2001,10.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,JAN-2001,4.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,JAN-2001,3.5
Punjab,Amritsar,Potato,FAQ,Kg.,Food,JAN-2001,2.0
Punjab,Bhatinda,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Punjab,Ludhiana,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Rajasthan,Jodhpur,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,JAN-2001,8.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,JAN-2001,6.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,JAN-2001,6.0
Uttar Pradesh,Agra,Potato,FAQ,Kg.,Food,JAN-2001,2.5
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,JAN-2001,4.0
West Bengal,Asansol,Potato,FAQ,Kg.,Food,JAN-2001,3.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,FEB-2001,7.5
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,FEB-2001,7.0
Bihar,Hajipur,Onion,FAQ,Kg.,Food,FEB-2001,9.0
Bihar,Muzaffarpur,Onion,FAQ,Kg.,Food,FEB-2001,7.0
Bihar,Patna,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Goa,Panaji,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Gujarat,Surat,Onion,FAQ,Kg.,Food,FEB-2001,7.0
Gujarat,Vadodra,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Haryana,Karnal,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,FEB-2001,5.0
Karnataka,Tumkur,Onion,FAQ,Kg.,Food,FEB-2001,4.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,FEB-2001,9.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,FEB-2001,7.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,FEB-2001,6.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,FEB-2001,15.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Punjab,Amritsar,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Punjab,Bhatinda,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Punjab,Ludhiana,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,FEB-2001,7.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,FEB-2001,12.0
Uttar Pradesh,Agra,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,FEB-2001,8.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,FEB-2001,8.0
West Bengal,Asansol,Onion,FAQ,Kg.,Food,FEB-2001,6.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,FEB-2001,10.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Bihar,Hajipur,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Bihar,Muzaffarpur,Potato,FAQ,Kg.,Food,FEB-2001,3.25
Bihar,Patna,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Goa,Panaji,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Gujarat,Surat,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Gujarat,Vadodra,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Haryana,Karnal,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Karnataka,Tumkur,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,FEB-2001,7.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,FEB-2001,10.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,FEB-2001,10.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,FEB-2001,3.5
Punjab,Amritsar,Potato,FAQ,Kg.,Food,FEB-2001,2.0
Punjab,Bhatinda,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Punjab,Ludhiana,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,FEB-2001,6.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,FEB-2001,5.0
Uttar Pradesh,Agra,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,FEB-2001,3.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,FEB-2001,3.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,FEB-2001,4.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,MAR-2001,5.5
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Assam,Dibrugarh,Onion,FAQ,Kg.,Food,MAR-2001,10.0
Bihar,Muzaffarpur,Onion,FAQ,Kg.,Food,MAR-2001,7.5
Bihar,Patna,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Goa,Panaji,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Gujarat,Vadodra,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Haryana,Karnal,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Jharkhand,Dhanbad,Onion,FAQ,Kg.,Food,MAR-2001,7.5
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,MAR-2001,4.0
Karnataka,Tumkur,Onion,FAQ,Kg.,Food,MAR-2001,5.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,MAR-2001,15.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,MAR-2001,8.0
Punjab,Amritsar,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Punjab,Ludhiana,Onion,FAQ,Kg.,Food,MAR-2001,9.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,MAR-2001,3.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,MAR-2001,11.0
Uttar Pradesh,Agra,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,MAR-2001,6.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,MAR-2001,7.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,MAR-2001,6.0
West Bengal,Asansol,Onion,FAQ,Kg.,Food,MAR-2001,8.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,MAR-2001,10.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Assam,Dibrugarh,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Bihar,Muzaffarpur,Potato,FAQ,Kg.,Food,MAR-2001,3.5
Goa,Panaji,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Gujarat,Surat,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Gujarat,Vadodra,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Haryana,Karnal,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Jharkhand,Dhanbad,Potato,FAQ,Kg.,Food,MAR-2001,3.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Karnataka,Tumkur,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,MAR-2001,7.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,MAR-2001,7.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,MAR-2001,10.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,MAR-2001,10.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,MAR-2001,4.5
Orissa,Cuttack,Potato,FAQ,Kg.,Food,MAR-2001,4.5
Punjab,Amritsar,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Punjab,Ludhiana,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,MAR-2001,3.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,MAR-2001,7.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,MAR-2001,6.0
Uttar Pradesh,Agra,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,MAR-2001,5.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,MAR-2001,4.0
West Bengal,Asansol,Potato,FAQ,Kg.,Food,MAR-2001,4.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,MAR-2001,3.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,MAR-2001,4.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,APR-2001,6.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,APR-2001,5.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,APR-2001,5.0
Assam,Silchar,Onion,FAQ,Kg.,Food,APR-2001,10.0
Bihar,Muzaffarpur,Onion,FAQ,Kg.,Food,APR-2001,6.5
Goa,Panaji,Onion,FAQ,Kg.,Food,APR-2001,6.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,APR-2001,7.0
Gujarat,Surat,Onion,FAQ,Kg.,Food,APR-2001,5.0
Gujarat,Vadodra,Onion,FAQ,Kg.,Food,APR-2001,8.0
Haryana,Karnal,Onion,FAQ,Kg.,Food,APR-2001,8.0
Jharkhand,Dhanbad,Onion,FAQ,Kg.,Food,APR-2001,5.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,APR-2001,5.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,APR-2001,4.0
Karnataka,Hubli,Onion,FAQ,Kg.,Food,APR-2001,4.0
Karnataka,Tumkur,Onion,FAQ,Kg.,Food,APR-2001,5.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,APR-2001,7.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,APR-2001,6.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,APR-2001,6.0
Madhya Pradesh,Bhopal,Onion,FAQ,Kg.,Food,APR-2001,6.0
Madhya Pradesh,Sehore,Onion,FAQ,Kg.,Food,APR-2001,5.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,APR-2001,10.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,APR-2001,15.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,APR-2001,8.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,APR-2001,5.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,APR-2001,6.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,APR-2001,3.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,APR-2001,3.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,APR-2001,14.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,APR-2001,6.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,APR-2001,10.0
Uttar Pradesh,Agra,Onion,FAQ,Kg.,Food,APR-2001,5.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,APR-2001,6.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,APR-2001,7.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,APR-2001,5.0
Uttarakhand,Haldwani,Onion,FAQ,Kg.,Food,APR-2001,6.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,APR-2001,8.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,APR-2001,10.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,APR-2001,6.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,APR-2001,6.0
Assam,Silchar,Potato,FAQ,Kg.,Food,APR-2001,5.0
Bihar,Muzaffarpur,Potato,FAQ,Kg.,Food,APR-2001,5.0
Goa,Panaji,Potato,FAQ,Kg.,Food,APR-2001,8.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,APR-2001,7.0
Gujarat,Surat,Potato,FAQ,Kg.,Food,APR-2001,6.0
Gujarat,Vadodra,Potato,FAQ,Kg.,Food,APR-2001,7.0
Haryana,Karnal,Potato,FAQ,Kg.,Food,APR-2001,8.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,APR-2001,8.0
Jharkhand,Dhanbad,Potato,FAQ,Kg.,Food,APR-2001,4.5
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,APR-2001,6.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,APR-2001,4.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,APR-2001,8.0
Karnataka,Tumkur,Potato,FAQ,Kg.,Food,APR-2001,6.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,APR-2001,9.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,APR-2001,10.0
Madhya Pradesh,Bhopal,Potato,FAQ,Kg.,Food,APR-2001,8.0
Madhya Pradesh,Sehore,Potato,FAQ,Kg.,Food,APR-2001,7.0
Meghalaya,Shillong,Potato,FAQ,Kg.,Food,APR-2001,10.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,APR-2001,10.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,APR-2001,10.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,APR-2001,5.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,APR-2001,6.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,APR-2001,6.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,APR-2001,6.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,APR-2001,10.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,APR-2001,7.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,APR-2001,7.0
Uttar Pradesh,Agra,Potato,FAQ,Kg.,Food,APR-2001,5.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,APR-2001,4.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,APR-2001,6.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,APR-2001,5.0
Uttarakhand,Haldwani,Potato,FAQ,Kg.,Food,APR-2001,6.0
Uttarakhand,Srinagar,Potato,FAQ,Kg.,Food,APR-2001,4.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,APR-2001,4.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,APR-2001,5.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,MAY-2001,4.5
Andhra Pradesh,Kurnool,Onion,FAQ,Kg.,Food,MAY-2001,4.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Bihar,Muzaffarpur,Onion,FAQ,Kg.,Food,MAY-2001,5.5
Goa,Panaji,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Gujarat,Vadodra,Onion,FAQ,Kg.,Food,MAY-2001,8.0
Haryana,Karnal,Onion,FAQ,Kg.,Food,MAY-2001,7.0
Jharkhand,Dhanbad,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,MAY-2001,3.5
Karnataka,Hubli,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Karnataka,Tumkur,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,MAY-2001,8.0
Madhya Pradesh,Sehore,Onion,FAQ,Kg.,Food,MAY-2001,3.0
Maharashtra,Nasik,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,MAY-2001,10.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,MAY-2001,15.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,MAY-2001,8.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,MAY-2001,2.5
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,MAY-2001,8.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,MAY-2001,10.0
Uttar Pradesh,Agra,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,MAY-2001,6.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,MAY-2001,5.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,MAY-2001,4.0
Uttarakhand,Haldwani,Onion,FAQ,Kg.,Food,MAY-2001,5.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,MAY-2001,8.2
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,MAY-2001,9.0
Andhra Pradesh,Kurnool,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,MAY-2001,6.0
Bihar,Muzaffarpur,Potato,FAQ,Kg.,Food,MAY-2001,5.5
Goa,Panaji,Potato,FAQ,Kg.,Food,MAY-2001,12.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,MAY-2001,9.0
Gujarat,Surat,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Gujarat,Vadodra,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Haryana,Karnal,Potato,FAQ,Kg.,Food,MAY-2001,8.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,MAY-2001,8.0
Jharkhand,Dhanbad,Potato,FAQ,Kg.,Food,MAY-2001,5.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,MAY-2001,6.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,MAY-2001,6.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Karnataka,Tumkur,Potato,FAQ,Kg.,Food,MAY-2001,5.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,MAY-2001,12.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,MAY-2001,11.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,MAY-2001,11.0
Madhya Pradesh,Sehore,Potato,FAQ,Kg.,Food,MAY-2001,8.0
Maharashtra,Nasik,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Meghalaya,Shillong,Potato,FAQ,Kg.,Food,MAY-2001,8.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,MAY-2001,10.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,MAY-2001,10.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,MAY-2001,6.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,MAY-2001,12.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,MAY-2001,9.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,MAY-2001,8.0
Uttar Pradesh,Agra,Potato,FAQ,Kg.,Food,MAY-2001,7.0
