Age,Streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
15,Spotify,3.0,No,No,No,Hip hop,No,No,120,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Very frequently,Rarely,Never,7.0,3.0,0.0,2.0,Improve
15,Apple Music,8.0,Yes,No,No,Hip hop,Yes,Yes,120,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Rarely,Very frequently,Sometimes,Sometimes,6.0,9.0,3.0,0.0,Improve
17,Spotify,4.0,Yes,No,No,Rap,Yes,No,125,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Very frequently,Sometimes,Never,10.0,10.0,2.0,4.0,Improve
19,I do not use a streaming service.,5.0,Yes,No,No,R&B,Yes,Yes,118,Rarely,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,6.0,7.0,5.0,4.0,Improve
18,Spotify,2.0,Yes,No,No,Pop,No,Yes,79,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,3.0,3.0,8.0,6.0,No effect
16,Other streaming service,3.0,Yes,Yes,Yes,Rock,Yes,Yes,84,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Very frequently,Sometimes,10.0,6.0,8.0,10.0,Improve
18,Spotify,2.0,No,No,No,Pop,Yes,Yes,169,Sometimes,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Never,Very frequently,Sometimes,Sometimes,Sometimes,Never,7.0,4.0,2.0,5.0,Improve
14,Spotify,12.0,Yes,Yes,Yes,Rock,Yes,Yes,136,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Never,Never,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,8.0,6.0,10.0,5.0,Improve
18,YouTube Music,6.0,Yes,Yes,Yes,Pop,No,Yes,101,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Never,Never,3.0,2.0,1.0,2.0,Improve
17,Spotify,2.0,Yes,Yes,No,Pop,Yes,Yes,126,Never,Very frequently,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Rarely,Never,Sometimes,Sometimes,6.0,6.0,4.0,5.0,Improve
17,Apple Music,1.0,Yes,No,No,Pop,Yes,No,183,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,8.0,2.0,1.0,5.0,Improve
19,Spotify,2.0,Yes,No,No,Classical,No,No,120,Very frequently,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Very frequently,4.0,4.0,4.0,3.0,No effect
17,Spotify,4.0,No,No,No,Rock,Yes,Yes,142,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Very frequently,Rarely,Sometimes,Very frequently,Rarely,5.0,6.0,6.0,1.0,Improve
16,Spotify,1.0,Yes,No,No,Classical,No,No,75,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,0.0,0.0,0.0,0.0,No effect
18,Spotify,5.0,Yes,Yes,No,Pop,Yes,No,120,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,3.0,2.0,1.0,1.0,Improve
21,Spotify,4.0,Yes,No,No,Pop,No,Yes,89,Never,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,6.0,8.0,0.0,2.0,Improve
26,Other streaming service,0.5,No,No,No,Rock,No,Yes,140,Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Very frequently,Never,9.0,8.0,1.0,0.0,No effect
20,Spotify,4.0,Yes,No,No,EDM,Yes,No,161,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,7.0,2.0,8.0,6.0,Improve
23,YouTube Music,2.0,Yes,Yes,Yes,Video game music,Yes,No,80,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,4.0,2.0,3.0,4.0,Improve
18,Spotify,5.0,Yes,Yes,No,Rock,Yes,No,130,Very frequently,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,7.0,6.0,5.0,0.0,Improve
37,YouTube Music,0.25,No,No,No,Video game music,Yes,No,147,Very frequently,Rarely,Never,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,3.0,2.0,10.0,0.0,No effect
17,Spotify,3.0,Yes,No,No,Classical,Yes,Yes,120,Very frequently,Never,Very frequently,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,6.0,6.0,8.0,2.0,Improve
18,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,77,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,1.0,0.0,8.0,2.0,No effect
17,I do not use a streaming service.,1.0,Yes,Yes,Yes,Folk,No,No,118,Never,Sometimes,Rarely,Very frequently,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,7.0,3.0,1.0,5.0,Improve
36,Spotify,1.0,No,Yes,Yes,Classical,No,No,132,Very frequently,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,8.0,9.0,3.0,0.0,No effect
24,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,115,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,9.0,6.0,4.0,3.0,Improve
18,Spotify,5.0,Yes,No,Yes,Metal,Yes,Yes,157,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Rarely,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Never,7.0,9.0,5.0,0.0,Improve
19,Spotify,3.0,Yes,No,No,Pop,No,Yes,90,Sometimes,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,7.0,4.0,2.0,4.0,No effect
17,Apple Music,2.0,Yes,Yes,No,EDM,Yes,No,128,Never,Rarely,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,0.0,0.0,0.0,0.0,Improve
16,Spotify,6.0,Yes,No,No,K pop,Yes,Yes,169,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,7.0,8.0,7.0,5.0,Improve
23,Apple Music,1.0,No,No,No,Rap,No,Yes,140,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Never,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,10.0,6.0,3.0,10.0,No effect
23,Spotify,12.0,Yes,No,No,Pop,Yes,Yes,96,Very frequently,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Never,3.0,7.0,5.0,5.0,No effect
22,Spotify,4.0,Yes,No,Yes,Rock,Yes,Yes,126,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,8.0,7.0,4.0,3.0,Improve
18,Spotify,6.0,Yes,No,No,Rock,Yes,No,91,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,8.0,6.0,2.0,10.0,No effect
23,Spotify,7.0,Yes,No,No,Folk,Yes,Yes,55,Rarely,Very frequently,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,6.0,4.0,2.0,3.0,Improve
23,I do not use a streaming service.,1.0,Yes,Yes,No,Video game music,No,No,85,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,7.0,0.0,0.0,2.0,Improve
19,YouTube Music,1.0,No,Yes,No,K pop,Yes,Yes,160,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,10.0,1.0,0.0,0.0,Improve
22,Pandora,1.0,No,Yes,No,Rock,Yes,No,108,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,8.0,7.0,0.0,5.0,Improve
15,Other streaming service,2.0,Yes,Yes,No,Rock,No,No,156,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,3.0,2.0,6.0,7.0,Improve
25,Spotify,2.0,No,No,No,Metal,No,Yes,170,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Very frequently,5.0,5.0,3.0,1.0,No effect
32,Spotify,5.0,Yes,No,No,Rock,No,Yes,91,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,Never,10.0,10.0,3.0,1.0,Worsen
36,Spotify,6.0,Yes,No,No,Metal,Yes,Yes,174,Very frequently,Never,Rarely,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,5.0,4.0,10.0,2.0,Improve
24,Spotify,3.0,No,No,No,Rock,Yes,Yes,130,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Never,Never,Very frequently,Never,0.0,0.0,8.0,0.0,No effect
29,Spotify,4.0,No,No,No,Hip hop,Yes,No,140,Rarely,Sometimes,Rarely,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,8.0,8.0,5.0,10.0,Improve
41,Apple Music,3.0,Yes,Yes,Yes,Metal,Yes,Yes,130,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Never,10.0,7.0,8.0,0.0,Improve
36,I do not use a streaming service.,2.0,Yes,Yes,Yes,Rock,Yes,No,127,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,7.0,3.0,1.0,1.0,Improve
19,YouTube Music,3.0,Yes,No,No,Rock,Yes,No,160,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,8.0,7.0,4.0,0.0,Improve
26,Spotify,2.0,Yes,Yes,Yes,Hip hop,Yes,Yes,165,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Rarely,6.0,3.0,1.0,1.0,Improve
22,Apple Music,0.5,No,No,No,Hip hop,No,No,113,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,7.0,7.0,0.0,1.0,No effect
16,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,167,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Sometimes,Never,7.0,7.0,8.0,4.0,Improve
17,Spotify,5.0,Yes,No,No,Metal,Yes,Yes,95,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,4.0,1.0,0.0,0.0,Improve
19,Spotify,10.0,Yes,No,No,R&B,Yes,Yes,110,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,7.0,2.0,1.0,5.0,Improve
18,YouTube Music,2.0,No,No,No,EDM,No,Yes,150,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,9.0,0.0,5.0,10.0,Improve
18,YouTube Music,4.0,Yes,No,No,Hip hop,Yes,Yes,93,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2.0,7.0,1.0,1.0,Improve
19,Spotify,5.0,No,Yes,Yes,Rock,Yes,Yes,90,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10.0,8.0,7.0,0.0,Improve
19,Spotify,3.0,Yes,No,No,Jazz,Yes,No,118,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,3.0,0.0,0.0,0.0,Improve
22,Spotify,2.0,Yes,No,No,K pop,Yes,Yes,126,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,7.0,8.0,5.0,1.0,No effect
16,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,103,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,2.0,1.0,0.0,0.0,Improve
19,Spotify,3.0,Yes,No,No,R&B,Yes,Yes,77,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,5.0,4.0,0.0,1.0,Improve
37,Spotify,1.0,Yes,No,No,Rock,No,No,115,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,9.0,10.0,6.0,10.0,No effect
14,Spotify,7.0,Yes,Yes,No,Jazz,No,No,110,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,2.0,0.0,0.0,0.0,Improve
26,Spotify,1.0,No,No,No,R&B,No,No,113,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Very frequently,Never,Never,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Never,3.0,2.0,0.0,0.0,No effect
32,Spotify,3.0,Yes,No,No,Hip hop,No,No,157,Never,Never,Rarely,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,2.0,0.0,7.0,0.0,No effect
30,Spotify,5.0,Yes,Yes,No,Metal,Yes,No,160,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Never,Never,Very frequently,Never,7.0,6.0,6.0,2.0,No effect
43,I do not use a streaming service.,6.0,Yes,Yes,Yes,Video game music,Yes,Yes,109,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,5.0,4.0,8.0,3.0,No effect
24,Spotify,4.0,Yes,No,No,Classical,Yes,Yes,175,Very frequently,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Very frequently,Rarely,4.0,6.0,5.0,3.0,Improve
36,YouTube Music,1.0,Yes,No,No,Rock,Yes,No,110,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,6.0,2.0,3.0,1.0,Improve
19,YouTube Music,4.0,Yes,No,No,Video game music,Yes,No,162,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,8.0,2.0,1.0,6.0,Improve
22,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,189,Rarely,Very frequently,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Sometimes,9.0,6.0,0.0,6.0,Improve
20,Spotify,3.0,No,No,Yes,EDM,Yes,Yes,121,Rarely,Sometimes,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,0.0,3.0,7.0,0.0,Improve
31,Spotify,2.0,No,No,No,Rock,Yes,No,200,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,8.0,9.0,6.0,2.0,Improve
19,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,105,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,4.0,1.0,1.0,1.0,Improve
15,Spotify,8.0,Yes,No,No,Rock,No,No,193,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8.0,7.0,5.0,0.0,Improve
18,Spotify,2.0,No,Yes,Yes,Metal,Yes,Yes,149,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,3.0,4.0,6.0,1.0,Improve
25,I do not use a streaming service.,0.5,No,Yes,No,Classical,No,No,140,Very frequently,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,1.0,1.0,3.0,1.0,Improve
17,Apple Music,5.0,Yes,No,No,Metal,Yes,No,134,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,10.0,8.0,6.0,7.0,No effect
28,YouTube Music,1.0,No,No,No,Rock,Yes,No,120,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Rarely,6.0,6.0,2.0,0.0,No effect
20,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,170,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,6.0,7.0,0.0,0.0,Improve
21,YouTube Music,2.0,Yes,Yes,No,Metal,Yes,Yes,107,Sometimes,Rarely,Never,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,8.0,4.0,10.0,0.0,No effect
41,Spotify,3.0,Yes,No,No,Pop,No,Yes,113,Sometimes,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Never,9.0,7.0,6.0,2.0,No effect
20,Spotify,2.0,Yes,Yes,No,Pop,Yes,No,126,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Sometimes,7.0,4.0,6.0,5.0,Improve
34,Other streaming service,4.0,Yes,No,No,Metal,Yes,Yes,161,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Sometimes,Rarely,6.0,7.0,0.0,0.0,No effect
23,Spotify,2.0,Yes,No,No,Metal,Yes,Yes,100,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Never,Sometimes,Rarely,6.0,3.0,0.0,1.0,Improve
16,Spotify,3.0,No,No,No,Pop,No,No,140,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Never,Never,7.0,5.0,5.0,3.0,Improve
19,YouTube Music,4.0,Yes,No,No,Pop,Yes,No,156,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,7.0,10.0,5.0,0.0,Improve
22,Spotify,2.0,Yes,Yes,No,Rock,Yes,Yes,98,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8.0,6.0,0.0,0.0,Improve
19,Spotify,8.0,Yes,No,No,K pop,Yes,Yes,100,Very frequently,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,4.0,3.0,0.0,0.0,Improve
23,Spotify,4.0,Yes,No,No,Hip hop,Yes,Yes,78,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,7.0,6.0,7.0,5.0,Improve
23,Spotify,2.0,No,Yes,No,Metal,No,Yes,117,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,7.0,3.0,2.0,3.0,Improve
22,Spotify,1.0,No,No,Yes,EDM,Yes,No,128,Never,Never,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Sometimes,Never,2.0,7.0,5.0,0.0,Improve
17,Spotify,3.0,Yes,No,No,Rock,Yes,No,130,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Very frequently,Very frequently,Sometimes,Very frequently,Sometimes,7.0,8.0,6.0,5.0,Improve
28,Spotify,0.5,No,No,No,Folk,Yes,No,130,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,4.0,7.0,1.0,0.0,Improve
19,Apple Music,3.0,Yes,No,No,Rock,Yes,Yes,126,Never,Sometimes,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Very frequently,Sometimes,5.0,2.0,8.0,6.0,Improve
